eleccion_id;anio;vuelta;tipo;candidato;Tarapacá;Arica y Parinacota;Antofagasta;Atacama;Coquimbo;Valparaíso;RM;O´Higgins;Maule;Ñuble;Biobío;Araucanía;Los Ríos;Los Lagos;Aysén;Magallanes;votos_candidato_limpio;fuente_total_usado;factor_duplicacion_detectado;total_columna;suma_regiones;razon_total_suma_regiones;nulos_total_eleccion;blancos_total_eleccion;nulos_total_original;blancos_total_original;observacion_total
2009_1;2009;1;Primera vuelta;ME-O;27908;17953;52462;29856;52060;174581;571664;68572;70746;;177588;56852;27325;52147;7644;17766;1405124;suma_regiones;2;2810248;1405124;2.0;;;;;"Total original parece duplicado; se usa suma regional."
2009_1;2009;1;Primera vuelta;Sebastián Piñera;46594;34513;71001;39870;99199;353016;1185151;169650;187178;;383617;209018;77980;165208;21655;30514;3074164;suma_regiones;2;6148328;3074164;2.0;;;;;"Total original parece duplicado; se usa suma regional."
2009_2;2009;2;Segunda vuelta;Eduardo Frei;36823;36659;94656;58093;149579;362431;1274466;203131;245715;;454974;175802;80564;148649;17148;29100;3367790;suma_regiones;2;6735580;3367790;2.0;;;;;"Total original parece duplicado; se usa suma regional."
2009_2;2009;2;Segunda vuelta;Sebastián Piñera;56710;40424;86774;50872;119266;419803;1369979;197607;217366;;457669;237496;89489;188623;24171;34933;3591182;suma_regiones;2;7182364;3591182;2.0;189490;54909;378980;109818;"Total original parece duplicado; se usa suma regional."
2013_1;2013;1;Primera vuelta;Alfredo Sfeir;1295;1026;2475;1171;3596;19858;87862;5494;5520;;13370;4492;2801;4272;8670;909;162811;suma_regiones;1;;162811;;66935;46268;;;"Total nacional faltante; se usa suma regional. Nulos/blancos 2013 V1 completados a nivel nacional desde registro TRICEL/SERVEL."
2013_1;2013;1;Primera vuelta;Evelyn Matthei;19876;15345;33291;17971;52381;178217;719487;84185;96727;;184180;111776;38044;77195;507;11136;1640318;suma_regiones;1;;1640318;;66935;46268;;;"Total nacional faltante; se usa suma regional. Nulos/blancos 2013 V1 completados a nivel nacional desde registro TRICEL/SERVEL."
2013_1;2013;1;Primera vuelta;Franco Parisi;16734;14347;37782;12950;24313;81024;200585;35039;39768;;111115;36447;15439;27297;4911;8264;666015;suma_regiones;1;;666015;;66935;46268;;;"Total nacional faltante; se usa suma regional. Nulos/blancos 2013 V1 completados a nivel nacional desde registro TRICEL/SERVEL."
2013_1;2013;1;Primera vuelta;ME-O;11204;7240;23612;10741;23268;75035;375279;31402;31577;;67430;25014;10132;21854;2284;7470;723542;suma_regiones;1;;723542;;66935;46268;;;"Total nacional faltante; se usa suma regional. Nulos/blancos 2013 V1 completados a nivel nacional desde registro TRICEL/SERVEL."
2013_1;2013;1;Primera vuelta;Marcel Claude;3120;1510;4775;2609;5276;27264;87845;7466;5816;;18078;6890;4548;7597;814;1464;185072;suma_regiones;1;;185072;;66935;46268;;;"Total nacional faltante; se usa suma regional. Nulos/blancos 2013 V1 completados a nivel nacional desde registro TRICEL/SERVEL."
2013_1;2013;1;Primera vuelta;Michelle Bachelet;31163;29374;69261;50354;142238;317345;1088451;190839;243613;;424899;189184;84819;163589;19227;31483;3075839;suma_regiones;1;;3075839;;66935;46268;;;"Total nacional faltante; se usa suma regional. Nulos/blancos 2013 V1 completados a nivel nacional desde registro TRICEL/SERVEL."
2013_1;2013;1;Primera vuelta;Ricardo Israel;335;322;980;367;1088;4131;15671;1710;1898;;5649;2706;846;1626;158;257;37744;suma_regiones;1;;37744;;66935;46268;;;"Total nacional faltante; se usa suma regional. Nulos/blancos 2013 V1 completados a nivel nacional desde registro TRICEL/SERVEL."
2013_1;2013;1;Primera vuelta;Roxana Miranda;1339;864;1967;1271;2491;8555;38547;3263;3706;;9887;4055;1663;3043;506;716;81873;suma_regiones;1;;81873;;66935;46268;;;"Total nacional faltante; se usa suma regional. Nulos/blancos 2013 V1 completados a nivel nacional desde registro TRICEL/SERVEL."
2013_1;2013;1;Primera vuelta;Tomás Jocelyn Holt;111;89;203;180;421;1172;4519;824;1215;;1871;989;337;504;49;110;12594;suma_regiones;1;;12594;;66935;46268;;;"Total nacional faltante; se usa suma regional. Nulos/blancos 2013 V1 completados a nivel nacional desde registro TRICEL/SERVEL."
2013_2;2013;2;Segunda vuelta;Evelyn Matthei;27626;21430;47071;24046;64948;234838;901653;107194;122989;;254487;138027;46871;94981;10638;15092;2111891;total_columna;1;2111891;2111891;1.0;82916;32565;82916;32565;"Total original consistente con suma regional; se conserva."
