eleccion_id;anio;vuelta;tipo;opcion;categoria;votos;votos_emitidos;porcentaje_emitidos
2017_1;2017;1;Primera vuelta;Eduardo Artés;Candidatura;33665;6703327;0.5022133039310182
2017_1;2017;1;Primera vuelta;José Antonio Kast;Candidatura;523375;6703327;7.807690121636614
2017_1;2017;1;Primera vuelta;ME-O;Candidatura;376871;6703327;5.622148524158228
2017_1;2017;1;Primera vuelta;Sebastián Piñera;Candidatura;2418540;6703327;36.079695947997166
2017_1;2017;1;Primera vuelta;Blancos;Voto que no elige;38543;6703327;0.574983138969649
2017_1;2017;1;Primera vuelta;Nulos;Voto que no elige;64504;6703327;0.9622684377474051
2017_2;2017;2;Segunda vuelta;Alejandro Guiller;Candidatura;3160628;7032878;44.94074829678547
2017_2;2017;2;Segunda vuelta;Sebastián Piñera;Candidatura;3796918;7032878;53.98811126824609
2017_2;2017;2;Segunda vuelta;Blancos;Voto que no elige;18892;7032878;0.2686240256122742
2017_2;2017;2;Segunda vuelta;Nulos;Voto que no elige;56440;7032878;0.8025164093561696
2021_1;2021;1;Primera vuelta;Eduardo Artés;Candidatura;102209;7080506;1.4435267761936788
2021_1;2021;1;Primera vuelta;Franco Parisi;Candidatura;899067;7080506;12.697778944047219
2021_1;2021;1;Primera vuelta;Gabriel Boric;Candidatura;1796851;7080506;25.37743771419726
2021_1;2021;1;Primera vuelta;José Antonio Kast;Candidatura;1954607;7080506;27.60547056947625
2021_1;2021;1;Primera vuelta;ME-O;Candidatura;533554;7080506;7.5355348897381065
2021_1;2021;1;Primera vuelta;Sebastián Sichel;Candidatura;894838;7080506;12.638051574280142
2021_1;2021;1;Primera vuelta;Yasna Provoste;Candidatura;813407;7080506;11.487978401543618
2021_1;2021;1;Primera vuelta;Blancos;Voto que no elige;30493;7080506;0.43066131149383957
2021_1;2021;1;Primera vuelta;Nulos;Voto que no elige;55480;7080506;0.7835598190298829
2021_2;2021;2;Segunda vuelta;Gabriel Boric;Candidatura;4596579;8329773;55.182524181631365
2021_2;2021;2;Segunda vuelta;José Antonio Kast;Candidatura;3640606;8329773;43.705944927911
2021_2;2021;2;Segunda vuelta;Blancos;Voto que no elige;23972;8329773;0.28778695409826893
2021_2;2021;2;Segunda vuelta;Nulos;Voto que no elige;68616;8329773;0.8237439363593702
2025_1;2025;1;Primera vuelta;Eduardo Artés;Candidatura;84867;13414633;0.6326449631532969
2025_1;2025;1;Primera vuelta;Evelyn Matthei;Candidatura;1607025;13414633;11.979641932805766
2025_1;2025;1;Primera vuelta;Franco Parisi;Candidatura;2555858;13414633;19.05276126450869
2025_1;2025;1;Primera vuelta;Harold Mayne-Nichols;Candidatura;162204;13414633;1.2091571942370694
2025_1;2025;1;Primera vuelta;Jeannette Jara;Candidatura;3453727;13414633;25.745967109200823
2025_1;2025;1;Primera vuelta;Johannes Kaiser;Candidatura;1799691;13414633;13.415879510084249
2025_1;2025;1;Primera vuelta;José Antonio Kast;Candidatura;3093700;13414633;23.062129243491043
2025_1;2025;1;Primera vuelta;ME-O;Candidatura;154169;13414633;1.149259916391302
2025_1;2025;1;Primera vuelta;Blancos;Voto que no elige;141989;13414633;1.0584635449959756
2025_1;2025;1;Primera vuelta;Nulos;Voto que no elige;361403;13414633;2.694095321131782
2025_2;2025;2;Segunda vuelta;Jeannette Jara;Candidatura;5188204;13376768;38.78518338659981
2025_2;2025;2;Segunda vuelta;José Antonio Kast;Candidatura;7239404;13376768;54.119231192467424
2025_2;2025;2;Segunda vuelta;Blancos;Voto que no elige;165344;13376768;1.2360534323388133
2025_2;2025;2;Segunda vuelta;Nulos;Voto que no elige;783816;13376768;5.8595319885939565
